影院名称,影院专资,所属城市
天河欢乐汇影城,42019001,武汉
武汉耀莱成龙国际影城（光谷店）,42019101,武汉
银兴国际影城江夏店,42011901,武汉
中影国际影城（光谷步行街天河CINITY LED店）,42016401,武汉
江汉环球电影城,42011001,武汉
橙天嘉禾影城（武汉南国店）,42018201,武汉
CGV星星影城（天地店）,42016901,武汉
星美影商城（武汉福星惠誉店）,42018101,武汉
横店电影城（CINITY首义汇店）,42071801,武汉
横店电影城（汇和店）,42019601,武汉
西湖影剧院,35011402,福州
万达影城(仓山万达广场激光IMAX店),35012201,福州
中瑞国际影城（省体育中心店）,35013801,福州
中瑞国际影城（红星美凯龙店）,35012401,福州
中瑞国际影城（白湖亭店）,35013201,福州
福州市大众电影院,35010501,福州
中兴主题影城（全激光影厅）,35012501,福州
福建大剧院电影厅,35014011,福州
万达影城（金融街万达广场杜比影院店）,35011702,福州
中影国际影城福州五四北泰禾广场店,35013501,福州
金逸影城IMAX（万宝商圈店）,35011202,福州
福州横店影城,35013101,福州
中瑞国际影城(三坊七巷店),35014171,福州
冠景国际影城,35014046,福州
燕林影城大学城店（全激光影厅）,35012301,福州
星美影商城（福州王庄IMAX店）,35013921,福州
福州金逸影城新天宇广场店,35013701,福州
德呈华业影城（原爱琴海LUXE巨幕店）,35014161,福州
横店电影城（CINITY中贸店）,61014501,西安
西安奥斯卡盛龙国际影城,61014901,西安
陕西CGV影城(印象城IMAX店),61016101,西安
太平洋影城（西安曲江店）,61011501,西安
西安高新奥斯卡金花影城,61011001,西安
西安大明宫IMAX影院,61012301,西安
金逸影城（西安澳堡店）,61014801,西安
奥斯卡长安国际影城,61013001,西安
万达影城（开元商城西旺店）,61013301,西安
万达影城（东新街店）,61010801,西安
西安欢乐小马电影城,61013201,西安
长安国际影城（临潼全都店）,61012901,西安
太平洋影城（西安临潼店）,61014301,西安
卢米埃影城(凯德广场店),61013101,西安
西安奥斯卡金地国际影城,61014701,西安
中影星美国际影城-韩森寨店,61014601,西安
首映国际影城（西安通化门店）,61015701,西安
大地影院（西安长安步行街店）,61013401,西安
大地影院西安栗园人人乐影院,61012501,西安
万达影城（乐派广场杜比全景声店）,61015601,西安
万达影城（碑林万达广场IMAX店）,61011201,西安
西安花溪湾影城,61012601,西安
西安中影国际影城（大唐西市4k临境音店）,61012101,西安
西安米格国际影城,61014001,西安
幸福蓝海国际影城（西安立丰店）,61010701,西安
横店电影城（西安莲湖区市民中心店）,61015101,西安
万达影城（民乐园万达广场激光IMAX店）,61011601,西安
万达影城（大明宫万达广场IMAX店）,61013501,西安
CGV影城(万和城4DX店),61015401,西安
嘉凯影城（西安恒大城店）,61014101,西安
西安博纳国际影城（新天地店）,61011301,西安
西安博纳国际影城（朱雀店）,61010901,西安
汉鼎宇佑影城（原华昕影院）,61012701,西安
奥斯卡国际影城灞桥店（激光）,61015001,西安
文投国际影城(西安太奥广场双激光巨幕影城),61014201,西安
时代华纳国际影城（启航店）,61015301,西安
SFC上影影城（西安龙湖店）,61015901,西安
高景活力影城临潼店,61016301,西安
西安耀莱成龙国际影城（银泰店）,61012801,西安
万达影城（平江IMAX店）,32021801,苏州
万达影城（SM广场6FL店）,32023801,苏州
开明大戏院影城（观前街店）,32020302,苏州
金逸影城苏州文化宫店,32021401,苏州
苏艺影城(东沙湖店),32026101,苏州
盛泽世纪影城,32022202,苏州
大地影院昆山乐购影城,32024401,苏州
中影环球·星影城,32028611,苏州
苏州中影国际影城（圆融星座店）,32027411,苏州
中影国际影城（金象城店）,32027611,苏州
保利万和国际影城-昆山文化艺术中心店,32025101,苏州
苏艺影城（艺术中心IMAX激光店）,32021201,苏州
昆山新世界国际影城,32025201,苏州
卢米埃影城 (苏州园区华润杜比全景声激光店),32026501,苏州
博纳国际影城苏州丽丰店,32024701,苏州
苏州独墅湖影剧院,32021302,苏州
万达影城（前进路世茂店）,32024201,苏州
完美世界影城瑞佳店（原17.5影城）,32024301,苏州
中影国际影城（新区港龙ALPD激光店）,32029021,苏州
金逸苏州繁花中心店,32027711,苏州
金逸影城苏州永捷店,32025301,苏州
金逸影城（影视中心巨幕店）,32028011,苏州
金逸苏州亿象城IMAX店,32023901,苏州
金逸影城苏州相城恒达店,32026301,苏州
龙之星国际影城（太平店）,32026401,苏州
苏州时代金球影城,32024001,苏州
银兴国际影城（吴中店）,32027211,苏州
金逸影城苏州演艺中心店,32027311,苏州
金逸影城（长江壹号店）,32027511,苏州
大光明影城（观前街店）,32020101,苏州
华夏国际影城,32029031,苏州
幸福蓝海国际影城（石路IMAX店）,32023701,苏州
万达影城（昆山世茂店）,32023501,苏州
万达影城（苏州世茂店）,32023301,苏州
橙天嘉禾影城（印象城店）,32021901,苏州
佳线国际影城（塘桥店）,32027811,苏州
太仓中影东方影城,32028211,苏州
昆山中影国际影城（花桥绿地店）,32022501,苏州
星美影商城（成都环球IMAX店）,51015401,成都
成影和平电影院（草市街店）,51016201,成都
成都学府影城,51013401,成都
横店电影城（武侯店）,51019971,成都
苏宁影城（高新苏宁广场店）,51019001,成都
峨影1958电影城,51012301,成都
太平洋影城（金沙店）,51012001,成都
太平洋影城（王府井店）,51010101,成都
太平洋影城（紫荆店）,51010201,成都
太平洋影城（金色海蓉店）,51011301,成都
维斯影城（原太平洋影城沙湾店）,51011701,成都
太平洋影城（新城市店）,51010401,成都
太平洋影城（春熙店）,51010301,成都
太平洋影城（瑞云欣广场店）,51016001,成都
太平洋电影城（羊安店）,51012401,成都
中影紫荆国际影城（邛崃市五彩广场店）,51017501,成都
成都双楠电影城,51016801,成都
影立方773IMAX影城,51019701,成都
UME影城（成都成华店）,51015101,成都
UME影城（成都金牛店）,51010191,成都
万达影城（金沙广场XLAND店）,51017901,成都
博纳UA国际金融中心影城,51014301,成都
CGV影城(金牛IMAX店),51014001,成都
卢米埃IMAX影城（北城天街店）,51014201,成都
成都百丽宫影城（LUXE太古里店）,51019981,成都
成都万达影城（金牛万达广场激光IMAX店）,51015301,成都
成都百老汇影城（万象城1期店）,51019301,成都
成都百丽宫影城恒大广场店,51019961,成都
万达影城（成都财富广场店）,51017701,成都
卢米埃影城（成都魅力城激光店）,51014101,成都
SFC上影影城（成都科华IMAX店）,51018001,成都
万达影城（红牌楼广场店）,51018301,成都
卢米埃影城(成都来福士杜比全景声激光店),51019501,成都
CGV影城(金楠IMAX店),51011031,成都
金逸影城（成都鹏瑞利IMAX店）,51010121,成都
保利国际影城-成都复城店,51010141,成都
橙天嘉禾影城（富力店）,51016601,成都
橙天嘉禾影城（成都凯德新南店）,51016901,成都
橙天嘉禾影城（成都新业店）,51014501,成都
橙天嘉禾影城（成都英祥店）,51015501,成都
未知·幸福蓝海国际影城（成都仁和春天光华店）,51011601,成都
CGV影城(高新IMAX店),51015001,成都
杭州光影影院,33015701,杭州
杭州新世界国际影城（富阳店）,33017201,杭州
杭州金象影城,33016001,杭州
德纳影城（中大银泰城店）,33018301,杭州
完美世界影城（新天地杜比全景声巨幕店）,33019311,杭州
滨文电影大世界,33012901,杭州
萧山德纳MAX影城,33017901,杭州
华夏影城,33017701,杭州
星际影城（怀德文化艺术中心店）,33016601,杭州
星美影商城（杭州塘栖店）,33018401,杭州
杭州新华影都,33010501,杭州
东漫国际影城（澳门广场店）,33016701,杭州
杭州时代国际影城,33019221,杭州
浙江实验艺术剧场,33011402,杭州
众安电影大世界,33012801,杭州
东城时代电影大世界,33018901,杭州
传奇奢华影城中国巨幕店,33016401,杭州
杭州时代联合影城,33015801,杭州
杭州华元电影大世界,33013101,杭州
新远下沙店,33014801,杭州
万达影城（钱江新城店）,33015601,杭州
杭州中影国际影城西溪印象城CINITYLED店,33015901,杭州
卢米埃影城（杭州庆春银泰杜比全景声激光店）,33013501,杭州
中影国际影城（杭州星光大道店）,33014301,杭州
闻堰新远影城,33017101,杭州
SFC上影影城（杭州临平店）,33013401,杭州
浙影时代影城·奥斯卡店,33010301,杭州
万达影城（余杭万达广场杜比影院店）,33017931,杭州
